orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,quantidade_servidores_cedidos_apf,quantidade_servidores_cedidos_outros,quantidade_servidores_cedidos,quantidade_servidores_quadro_pessoal,quantidade_estagiarios
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,149,55,204,6799,648
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,147,45,192,1865,26
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,1799,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,202110,103,30,133,3109,130
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,109,99,208,6463,100
235874,MINISTÉRIO DA CIDADANIA,MCIDADANIA,235874,MINISTÉRIO DA CIDADANIA,MCIDADANIA,MINISTÉRIO DA CIDADANIA,MCIDADANIA,202110,66,23,89,407,55
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,202110,129,79,208,3066,149
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,223,COMISSÃO NACIONAL DE ENERGIA NUCLEAR,CNEN,COMISSÃO NACIONAL DE ENERGIA NUCLEAR,CNEN,202110,5,0,5,1576,0
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,4243,AGÊNCIA ESPACIAL BRASILEIRA,AEB,AGÊNCIA ESPACIAL BRASILEIRA,AEB,202110,6,1,7,52,18
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,25064,AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES,ANATEL,AGÊNCIA NACIONAL DE TELECOMUNICAÇÕES,ANATEL,202110,48,6,54,1329,110
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,8,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,CNPQ,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,CNPQ,202110,26,15,41,355,9
