orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,codigo_unidade_orcamentaria,codigo_item,nome_item,codigo_natureza_despesa_detalhada,nome_natureza_despesa_detalhada,valor
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,1799,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,202110,22201,11,Contratação Temporária,33900422,AUXILIO-CRECHE,914.85
14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,14,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,202110,22101,11,Contratação Temporária,33900422,AUXILIO-CRECHE,10593.0
72084,MINISTÉRIO DO TURISMO,MTUR,72084,MINISTÉRIO DO TURISMO,MTUR,MINISTÉRIO DO TURISMO,MTUR,202110,54101,11,Contratação Temporária,33900422,AUXILIO-CRECHE,0.0
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,63101,11,Contratação Temporária,33900422,AUXILIO-CRECHE,3531.0
235874,MINISTÉRIO DA CIDADANIA,MCIDADANIA,235874,MINISTÉRIO DA CIDADANIA,MCIDADANIA,MINISTÉRIO DA CIDADANIA,MCIDADANIA,202110,55101,11,Contratação Temporária,33900422,AUXILIO-CRECHE,963.0
304,MINISTÉRIO DA SAÚDE,MS,45013,AGÊNCIA NACIONAL DE SAÚDE SUPLEMENTAR,ANS,AGÊNCIA NACIONAL DE SAÚDE SUPLEMENTAR,ANS,202110,36213,11,Contratação Temporária,33900422,AUXILIO-CRECHE,2728.5
304,MINISTÉRIO DA SAÚDE,MS,2207,FUNDAÇÃO NACIONAL DE SAÚDE,FUNASA,FUNDAÇÃO NACIONAL DE SAÚDE,FUNASA,202110,36211,11,Contratação Temporária,33900422,AUXILIO-CRECHE,642.0
264359,MINISTÉRIO DAS COMUNICAÇÕES,MCOM,264359,MINISTÉRIO DAS COMUNICAÇÕES,MCOM,MINISTÉRIO DAS COMUNICAÇÕES,MCOM,202110,41101,11,Contratação Temporária,33900422,AUXILIO-CRECHE,321.0
1927,MINISTÉRIO DO MEIO AMBIENTE,MMA,1812,INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS,IBAMA,INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS,IBAMA,202110,44201,11,Contratação Temporária,33900422,AUXILIO-CRECHE,483952.85
1927,MINISTÉRIO DO MEIO AMBIENTE,MMA,1913,INSTITUTO DE PESQUISAS JARDIM BOTÂNICO DO RIO DE JANEIRO,JBRJ,INSTITUTO DE PESQUISAS JARDIM BOTÂNICO DO RIO DE JANEIRO,JBRJ,202110,44207,11,Contratação Temporária,33900422,AUXILIO-CRECHE,0.0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,260,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,202110,26391,11,Contratação Temporária,33900422,AUXILIO-CRECHE,1219.8
244,MINISTÉRIO DA EDUCAÇÃO,MEC,1710,FUNDAÇÃO UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,FUNDAÇÃO UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,202110,26286,11,Contratação Temporária,33900422,AUXILIO-CRECHE,304.95
