orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,area,servico,situacao,situacao_raiox,integracao_pagtesouro,valor_percentual_etapas_digitais,valor_economia_potencial_governo,valor_economia_potencial_sociedade,quantidade_beneficiados_ano,valor_economia_anual_governo,valor_economia_anual_sociedade,valor_investimento,previsao_entrega_trimestre
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,"Finanças, Impostos e Gestão Pública",Obter transação de dívidas das autarquias e fundações públicas federais,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,7
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,"Finanças, Impostos e Gestão Pública",Pagar débitos a órgãos federais - Autarquias e Fundações Públicas,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,9
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,"Finanças, Impostos e Gestão Pública",Resolver pendência decorrente do protesto de títulos das autarquias e fundações públicas federais,Transformado,Digitalizado,,0.33,0.0,0.0,0,0.0,0.0,0.0,7
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,Justiça e Segurança,Obter a resolução de conflitos através de procedimento de mediação,Transformado,Digitalizado,,0.25,0.0,0.0,0,0.0,0.0,0.0,7
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,Justiça e Segurança,Obter atuação da AGU para indígenas e remanescentes das comunidades dos quilombos,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,7
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,Justiça e Segurança,"Propor acordo para pagamento de dívidas com a União (Ministérios, Tribunal de Contas da União e outros órgãos ou instituições da Administração Pública Federal)",Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,7
46,ADVOCACIA-GERAL DA UNIÃO,AGU,46,ADVOCACIA-GERAL DA UNIÃO,AGU,ADVOCACIA-GERAL DA UNIÃO,AGU,202110,Justiça e Segurança,Solicitar negociação online para prevenir ou encerrar litígios (judiciais ou extrajudiciais) contra a União,Transformado,Digitalizado,,0.66,0.0,0.0,5000,1214701.0,279334.0,48396.0,2
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,Comunicações e Transparência Pública,Acessar informações de órgãos públicos,Digital,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,Comunicações e Transparência Pública,Cadastrar-se como Conselheiro na Plataforma Virtual de Conselho de Usuários de Serviços Públicos do Governo Federal,Digital,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,Comunicações e Transparência Pública,Cadastrar-se no Sistema Integrado de Registro do CEIS e CNEP,Digital,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,Comunicações e Transparência Pública,Consultar dados no Portal da Transparência do Governo Federal,Digital,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,Comunicações e Transparência Pública,Consultar Processo Correcional,Digital,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,Comunicações e Transparência Pública,Obter certidão de antecedentes em processo correcional instaurado pela Controladoria-Geral da União,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,9
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,Comunicações e Transparência Pública,Obter informações do Cadastro de Expulsões da Administração Federal,Digital,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,Comunicações e Transparência Pública,Obter informações do Cadastro Nacional de Empresas Inidôneas e Suspensas,Digital,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,Comunicações e Transparência Pública,Obter informações do Cadastro Nacional de Empresas Punidas,Digital,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,
214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,214460,CONTROLADORIA-GERAL DA UNIÃO,CGU,CONTROLADORIA-GERAL DA UNIÃO,CGU,202110,Comunicações e Transparência Pública,Protocolar documentos junto à Controladoria-Geral da União,Transformado,Digitalizado,,1.0,0.0,0.0,0,0.0,0.0,0.0,7
